0,0.03863
1,0.01525
2,0.00433
3,0.00288
4,0.00241
5,0.00197
6,0.00189
7,0.00159
8,0.0016
9,0.00148
10,0.00145
11,0.00131
12,0.00121
13,0.00112
14,0.0011
15,0.00108
16,0.00104
17,0.00099
18,0.00094
19,0.00095
20,0.00093
21,0.00084
22,0.00084
23,0.00078
24,0.00075
25,0.00074
26,0.00068
27,0.00068
28,0.00066
29,0.00068
30,0.00063
31,0.00062
32,0.00065
33,0.0006
34,0.0006
35,0.0006
36,0.00058
37,0.00059
38,0.00059
39,0.00054
40,0.00052
41,0.00052
42,0.00057
43,0.00052
44,0.00048
45,0.00051
46,0.0005
47,0.00051
48,0.00055
49,0.00066
50,0.00051
51,0.00051
52,0.00049
53,0.00048
54,0.00047
55,0.00053
56,0.00045
57,0.00046
58,0.00041
59,0.00043
60,0.00044
61,0.00042
62,0.00042
63,0.00047
64,0.0005
65,0.00046
66,0.00046
67,0.00044
68,0.00043
69,0.00044
70,0.00039
71,0.0004
72,0.00041
73,0.00044
74,0.00043
75,0.00039
76,0.00047
77,0.00041
78,0.00037
79,0.00036
80,0.00041
81,0.00042
82,0.00045
83,0.00038
84,0.00036
85,0.00039
86,0.00036
87,0.00032
88,0.00033
89,0.00064
90,0.00047
91,0.00039
92,0.00034
93,0.00035
94,0.00034
95,0.0003
96,0.00033
97,0.00037
98,0.00033
99,0.00037
